Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2021-10-13,58158.1936469353,56288.1002612592,58502.5724317484,54264.6075887199
BTC,2021-10-14,59245.5617803518,58055.3047645206,59394.8846618415,56857.1496244216
BTC,2021-10-15,61442.8275327954,59421.2996469019,62839.7385285075,58736.197235557
BTC,2021-10-16,61138.805146588,61604.3134751147,62298.8485212637,60101.3111774342
BTC,2021-10-17,61998.0164692759,61072.608388892,62527.1358112458,59003.0965938733
BTC,2021-10-18,62683.4526540688,62103.2711768919,62968.5319415914,59909.3299776607
BTC,2021-10-19,61944.2593114409,62591.8081697926,63257.0718756162,61417.0575484843
